,FECHA_DOC,CANT,MARGEN_UNITARIO_CALCULADO
739,2022-06-28,9,426.74
740,2022-06-28,6,538.34
741,2022-06-28,3,2075.39
742,2022-06-28,2,1360.85
743,2022-06-29,1,338.23
744,2022-06-29,1,550.77
745,2022-06-29,1,408.3
746,2022-06-29,100,351.36
747,2022-06-29,5,3986.11
748,2022-06-30,4,511.65
749,2022-06-30,5,525.02
750,2022-06-30,6,527.06
751,2022-06-30,2,971.97
752,2022-06-30,1,1556.5
753,2022-06-30,1,1534.45
754,2022-06-30,6,434.93
755,2022-06-30,4,550.21
756,2022-06-30,1,819.98
757,2022-06-30,1,789.87
758,2022-06-30,4,1061.27
759,2022-06-30,1,255.2
760,2022-06-30,3,343.7
761,2022-06-30,3,735.56
762,2022-06-30,1,395.73
763,2022-07-04,7,2280.13
764,2022-07-04,1,388.64
765,2022-07-04,2,247.67
766,2022-07-04,2,1260.79
767,2022-07-04,1,591.0
768,2022-07-04,1,260.68
769,2022-07-05,3,570.65
770,2022-07-06,1,471.8
771,2022-07-06,1,819.98
772,2022-07-06,2,376.86
773,2022-07-06,2,583.25
774,2022-07-06,2,584.16
775,2022-07-06,2,629.01
776,2022-07-06,1,365.79
777,2022-07-06,1,391.48
778,2022-07-06,1,294.5
779,2022-07-06,1,583.24
780,2022-07-07,10,107.97
781,2022-07-07,20,221.95
782,2022-07-07,15,221.95
783,2022-07-07,1,711.4
784,2022-07-07,2,1333.66
785,2022-07-07,6,684.41
786,2022-07-07,1,888.98
787,2022-07-08,4,746.26
788,2022-07-08,1,429.89
789,2022-07-08,1,569.47
790,2022-07-11,1,365.89
791,2022-07-11,6,448.91
792,2022-07-11,1,876.72
793,2022-07-11,2,593.01
794,2022-07-12,2,1013.64
795,2022-07-12,3,472.29
796,2022-07-12,5,776.8
797,2022-07-12,8,990.19
798,2022-07-12,1,819.98
799,2022-07-12,54,475.65
800,2022-07-12,27,473.75
801,2022-07-12,3,549.73
802,2022-07-12,3,409.03
803,2022-07-13,3,428.1
804,2022-07-13,1,470.89
805,2022-07-13,1,775.35
806,2022-07-13,4,526.15
807,2022-07-15,1,228.13
808,2022-07-15,2,4583.6
809,2022-07-15,3,641.66
810,2022-07-15,1,96.21
811,2022-07-15,3,636.54
812,2022-07-18,4,1849.87
813,2022-07-18,5,435.75
814,2022-07-18,4,773.07
815,2022-07-18,2,828.67
816,2022-07-18,10,552.4
817,2022-07-18,11,1167.63
818,2022-07-18,1,293.2
819,2022-07-19,1,1925.0
820,2022-07-20,1,217.51
821,2022-07-20,2,263.85
822,2022-07-20,1,810.55
823,2022-07-21,1,3650.1
824,2022-07-21,4,251.75
825,2022-07-21,4,409.09
826,2022-07-21,4,1161.96
827,2022-07-21,4,559.57
828,2022-07-21,1,2550.69
829,2022-07-21,2,2609.79
830,2022-07-21,1,2604.26
831,2022-07-21,1,2935.68
832,2022-07-21,30,869.51
833,2022-07-21,3,3461.46
834,2022-07-21,1,601.29
835,2022-07-21,2,780.01
836,2022-07-21,2,1901.85
837,2022-07-21,4,2859.72
838,2022-07-21,4,2496.29
839,2022-07-21,5,1846.89
840,2022-07-22,2,87.43
841,2022-07-22,21,651.89
842,2022-07-22,1,20088.3
843,2022-07-22,4,636.74
844,2022-07-22,1,395.44
845,2022-07-22,1,497.96
846,2022-07-22,1,395.44
847,2022-07-22,1,497.96
848,2022-07-22,6,449.8
849,2022-07-25,2,242.0
850,2022-07-26,2,2257.01
851,2022-07-26,1,13722.5
852,2022-07-26,12,492.0
853,2022-07-26,10,552.4
854,2022-07-27,1,2295.74
855,2022-07-27,10,114.67
856,2022-07-28,4,922.09
857,2022-07-28,5,361.58
858,2022-07-28,5,398.08
859,2022-07-28,1,1130.44
860,2022-07-29,5,745.53
861,2022-07-29,1,3931.14
862,2022-07-29,1,1171.82
863,2022-07-29,2,830.77
864,2022-07-29,2,658.2
865,2022-07-29,2,584.91
866,2022-07-29,1,17147.72
867,2022-07-29,1,420.69
868,2022-07-29,10,735.07
869,2022-07-29,6,610.84
870,2022-07-29,6,403.62
871,2022-07-29,6,652.12
872,2022-07-29,6,672.74
873,2022-07-29,10,380.26
874,2022-07-29,6,284.33
875,2022-07-29,16,1448.5
876,2022-07-29,3,733.34
877,2022-08-01,5,340.6
878,2022-08-01,5,255.2
879,2022-08-02,7,1007.39
880,2022-08-03,3,637.85
881,2022-08-03,1,879.73
882,2022-08-04,10,110.55
883,2022-08-08,5,82.21
884,2022-08-08,2,90.63
885,2022-08-08,3,140.51
886,2022-08-08,3,351.8
887,2022-08-08,4,579.22
888,2022-08-08,30,1183.82
889,2022-08-08,4,601.86
890,2022-08-08,20,1185.09
891,2022-08-08,4,2209.02
892,2022-08-08,2,92.18
893,2022-08-09,4,779.79
894,2022-08-09,1,696.45
895,2022-08-10,4,2021.48
896,2022-08-10,1,838.03
897,2022-08-10,4,637.85
898,2022-08-10,3,1328.67
899,2022-08-10,2,806.51
900,2022-08-10,4,321.9
901,2022-08-10,1,603.56
902,2022-08-10,1,4025.49
903,2022-08-10,2,1607.1
